,epoch,batch loss,batch acc,train loss,train acc,val loss,val acc
0,0,0.0026002787053585052,0.125,,,,
1,0,0.0008319486514665186,0.25,,,,
2,0,0.0004714583628810942,0.25,,,,
3,0,0.0014410981675609946,0.0625,,,,
4,0,0.001837296411395073,0.0625,,,,
5,0,0.0016200190875679255,0.25,,,,
6,0,-0.00045774097088724375,0.25,,,,
7,0,,,0.001192051202191838,0.17857142857142858,0.0009636314935050905,0.25
8,1,0.001066112658008933,0.1875,,,,
9,1,0.0009956724243238568,0.0625,,,,
10,1,0.0008272460545413196,0.1875,,,,
11,1,0.0007980837253853679,0.1875,,,,
12,1,0.0004553434264380485,0.25,,,,
13,1,0.0002980600984301418,0.375,,,,
14,1,0.0009138982277363539,0.0,,,,
15,1,,,0.0007649166592662888,0.17857142857142858,0.0007219610270112753,0.25
16,2,0.0015059616416692734,0.0625,,,,
17,2,0.000540976005140692,0.25,,,,
18,2,0.0005753268487751484,0.1875,,,,
19,2,0.00039691865094937384,0.125,,,,
20,2,0.0002862683613784611,0.1875,,,,
21,2,0.00022145766706671566,0.25,,,,
22,2,0.0010596769861876965,0.0,,,,
23,2,,,0.0006552265944524802,0.15178571428571427,-0.00011004268890246749,0.21875
24,3,0.00044109643204137683,0.125,,,,
25,3,-0.00012923074245918542,0.4375,,,,
26,3,0.00017951542395167053,0.25,,,,
27,3,0.0003201230429112911,0.25,,,,
28,3,0.0005776594625785947,0.0,,,,
29,3,0.00038392000715248287,0.125,,,,
30,3,-5.4700700275134295e-05,0.25,,,,
31,3,,,0.000245483275128728,0.20535714285714285,-0.00038051686715334654,0.40625
32,4,0.00019777505076490343,0.125,,,,
33,4,3.984484646935016e-05,0.1875,,,,
34,4,0.0002645656350068748,0.125,,,,
35,4,0.000194701919099316,0.1875,,,,
36,4,-2.695373768801801e-05,0.125,,,,
37,4,1.1134954547742382e-05,0.3125,,,,
38,4,0.0005619798903353512,0.25,,,,
39,4,,,0.00017757836550507427,0.1875,0.00013946928811492398,0.28125
40,5,0.00014933510101400316,0.125,,,,
41,5,-0.00011430106678744778,0.3125,,,,
42,5,-0.0003453056269790977,0.125,,,,
43,5,0.00024851964553818107,0.125,,,,
44,5,4.445861850399524e-05,0.25,,,,
45,5,0.00010971334995701909,0.125,,,,
46,5,-0.0003906777419615537,0.25,,,,
47,5,,,-4.260824581641438e-05,0.1875,0.0003665322146844119,0.15625
48,6,5.950115519226529e-05,0.125,,,,
49,6,-0.00022663669369649142,0.1875,,,,
50,6,0.00029808422550559044,0.125,,,,
51,6,1.3914122973801568e-05,0.3125,,,,
52,6,0.0001987473078770563,0.125,,,,
53,6,0.00042235999717377126,0.0625,,,,
54,6,-0.0005640857270918787,0.25,,,,
55,6,,,2.8840626847730683e-05,0.16964285714285715,0.00012031603546347469,0.15625
56,7,-0.0001071219303412363,0.1875,,,,
57,7,-0.0003065412456635386,0.1875,,,,
58,7,0.0002683079510461539,0.1875,,,,
59,7,-2.7971553208772093e-05,0.3125,,,,
60,7,-0.00037080582114867866,0.4375,,,,
61,7,-0.00017984519945457578,0.1875,,,,
62,7,2.4954031687229872e-05,0.25,,,,
63,7,,,-9.986053815477394e-05,0.25,-0.00039051775820553303,0.21875
64,8,0.0001709305652184412,0.1875,,,,
65,8,-3.610711428336799e-05,0.125,,,,
66,8,-0.0005774468299932778,0.25,,,,
67,8,-6.9072273618076e-05,0.1875,,,,
68,8,-0.0005953357322141528,0.4375,,,,
69,8,2.545832103351131e-05,0.1875,,,,
70,8,-0.0002770469291135669,0.25,,,,
71,8,,,-0.00019408857042435557,0.23214285714285715,0.00010137370554730296,0.28125
72,9,-0.0001067797711584717,0.1875,,,,
73,9,-0.00013710453640669584,0.375,,,,
74,9,-9.059027797775343e-05,0.1875,,,,
75,9,-0.0005019345553591847,0.3125,,,,
76,9,-0.0006161826313473284,0.3125,,,,
77,9,2.0728180970763788e-05,0.1875,,,,
78,9,-0.0003272064495831728,0.5,,,,
79,9,,,-0.00025129572012312044,0.29464285714285715,0.00037261277611833066,0.1875
